team,team_folder,number,player,wikipedia_title,photo_url,avatar,status
Czech Republic,捷克队,1,Matěj Kovář,Matěj Kovář,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Matj_kova-1772635856_%28cropped%29.JPG/1280px-Matj_kova-1772635856_%28cropped%29.JPG,头像/捷克队/Matěj Kovář.png,exists
Czech Republic,捷克队,2,David Zima,David Zima,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/David_Zima_CZE-KUW_2021-11-11_%28cropped%29.jpg/960px-David_Zima_CZE-KUW_2021-11-11_%28cropped%29.jpg,头像/捷克队/David Zima.png,exists
Czech Republic,捷克队,3,Tomáš Holeš,Tomáš Holeš,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Tom%C3%A1%C5%A1_Hole%C5%A1_Jablonec-Ostrava.jpg/960px-Tom%C3%A1%C5%A1_Hole%C5%A1_Jablonec-Ostrava.jpg,头像/捷克队/Tomáš Holeš.png,exists
Czech Republic,捷克队,4,Robin Hranáč,Robin Hranáč,,,missing_photo
Czech Republic,捷克队,5,Vladimír Coufal,Vladimír Coufal,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Vladim%C3%ADr_Coufal_with_West_Ham_United.jpeg/960px-Vladim%C3%ADr_Coufal_with_West_Ham_United.jpeg,头像/捷克队/Vladimír Coufal.png,exists
Czech Republic,捷克队,6,Štěpán Chaloupek,Štěpán Chaloupek,,,missing_photo
Czech Republic,捷克队,7,Ladislav Krejčí ( captain ),"Ladislav Krejčí (footballer, born 1999)",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Ladislav_Krej%C4%8D%C3%AD_01112025_%281%29.jpg/960px-Ladislav_Krej%C4%8D%C3%AD_01112025_%281%29.jpg,头像/捷克队/Ladislav Krejčí ( captain ).png,exists
Czech Republic,捷克队,8,Vladimír Darida,Vladimír Darida,https://upload.wikimedia.org/wikipedia/commons/5/52/Vladim%C3%ADr_Darida_20180601_AUSCZE_3910_%28cropped%29.jpg,头像/捷克队/Vladimír Darida.png,exists
Czech Republic,捷克队,9,Adam Hložek,Adam Hložek,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Adam_Hlo%C5%BEek%2C_2022-07-31%2C_Saisoner%C3%B6ffnung_Bayer_04%2C_Leverkusen_%282%29_%28cropped%29.jpg/960px-Adam_Hlo%C5%BEek%2C_2022-07-31%2C_Saisoner%C3%B6ffnung_Bayer_04%2C_Leverkusen_%282%29_%28cropped%29.jpg,头像/捷克队/Adam Hložek.png,exists
Czech Republic,捷克队,10,Patrik Schick,Patrik Schick,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3672_by_Stepro.jpg/1280px-2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3672_by_Stepro.jpg,头像/捷克队/Patrik Schick.png,exists
Czech Republic,捷克队,11,Jan Kuchta,Jan Kuchta,https://upload.wikimedia.org/wikipedia/commons/1/1d/Jan_Kuchta_2022.jpg,头像/捷克队/Jan Kuchta.png,exists
Czech Republic,捷克队,12,Lukáš Červ,Lukáš Červ,,,missing_photo
Czech Republic,捷克队,13,Mojmír Chytil,Mojmír Chytil,,,missing_photo
Czech Republic,捷克队,14,David Jurásek,David Jurásek,,,missing_photo
